source,destination,type,matching,status
/triphala-powder-detoxify-rejuvenate,/triphala-powder-traditional-wellness,301,exact,active
/sitopaladi-powder-healthy-respiratory,/sitopaladi-powder-100g-respiratory-support,301,exact,active
/safed-musli-powder-for-mens-health,/safed-musli-powder-100g-mens-wellness,301,exact,active
/neem-powder-for-healthy-blood-sugar,/neem-powder-100g-cardio-support,301,exact,active
/haritaki-powder-for-healthy-immunity,/haritaki-powder-100g-immunity-support,301,exact,active
/new-giloy-powder-100g-for-detox-boosts-immunity,/new-giloy-powder-100g-immunity-support,301,exact,active
/brahmi-powder-support-healthy-memory,/brahmi-powder-100g-stress-support,301,exact,active
/arjuna-powder-healthy-lipid-levels,/arjuna-powder-100g-cardio-support,301,exact,active
/orange-peel-herbal-face-pack-removes-dirt-from-skin-pores-and-helps-promotes-healthier-and-younger-skin,/orange-peel-herbal-face-pack-100g-skin-care,301,exact,active
/tulsi-leaves-herbal-immunity-booster,/tulsi-leaves-immunity-support,301,exact,active
/turmeric-wound-healer-100gm-natural-immunity-booster-improves-heart-health-and-fights-against-cancer,/turmeric-wound-healer-100g-immunity-support,301,exact,active
/mulethi-sticks-100gms-improves-kidney-liver-and-bladder-functions-may-boost-immunity-protect-against-disease-and-promote-liver-health,/mulethi-sticks-immunity-support,301,exact,active
/methi-dana-200gm-used-to-treat-digestive-problems-such-as-loss-of-appetite-upset-stomach,/methi-dana-200g-digestive-wellness,301,exact,active
/moringa-seeds-100gms-moringa-seeds-reduce-cholesterol-level-support-healthy-function-of-the-liver-and-improve-digestion,/moringa-seeds-digestive-wellness,301,exact,active
/long-pepper-whole-100gms-reduces-heart-burn-for-weight-management-provide-relief-in-constipation,/long-pepper-whole-digestive-wellness,301,exact,active
/kamarkas-raw-herb-200gms-provide-relief-from-the-summer-heat-and-reducing-weakness,/kamarkas-raw-herb-traditional-energy,301,exact,active
/haritaki-dried-good-for-digestion-detox-body-and-helps-nervous-system,/haritaki-dried-whole-200g-digestive-wellness,301,exact,active
/guduchi-tinospora-cordifolia-immune-system-booster,/guduchi-tinospora-cordifolia-100g-immunity-support,301,exact,active
/organic-dry-dates-helps-maintain-bone-health-great-for-skin,/organic-dry-dates-200g-skin-care,301,exact,active
/black-harde-100gm-boosts-immunity-improve-strength-and-provide-nourishment-to-the-scalp,/black-harde-100g-immunity-support,301,exact,active
/arnica-flowers-whole-70gms-helps-in-reducing-skin-infections-and-helpful-in-the-treatment-of-burns-as-well-as-boosts-immunity,/arnica-flowers-a-whole-immunity-support,301,exact,active
/alsi-flax-seeds-200-gm-a-great-source-of-fiber-to-promote-a-healthy-weight-loss,/alsi-flax-seeds-200g-weight-management,301,exact,active
/ashwagandha-root-boost-immunity,/ashwagandha-root-whole-100g-immunity-support,301,exact,active
